duration_hours,group,threshold_label,threshold_mm,model,bin_index,bin_lower,bin_upper,n_samples,mean_forecast_probability,observed_frequency
24,overall,1in,25.4,ann_csgd,7,0.7,0.8,25757,0.7474106523326666,0.7672477384788601
24,overall,1in,25.4,ann_csgd,8,0.8,0.9,20230,0.8482201437047373,0.8557587740978745
24,overall,1in,25.4,ann_csgd,9,0.9,1.0,22247,0.9581834650947393,0.9532071740009889
24,overall,2in,50.8,ann_csgd,0,0.0,0.1,24075117,0.0018646093220687427,0.001829773039109218
24,overall,2in,50.8,ann_csgd,1,0.1,0.2,93556,0.13865200224594082,0.13938176065671898
24,overall,2in,50.8,ann_csgd,2,0.2,0.3,31084,0.2431970628501212,0.2503538798095483
24,overall,2in,50.8,ann_csgd,3,0.3,0.4,14575,0.3447944400813526,0.3681646655231561
24,overall,2in,50.8,ann_csgd,4,0.4,0.5,8485,0.446137271653784,0.4862698880377136
24,overall,2in,50.8,ann_csgd,5,0.5,0.6,5517,0.5472240408888238,0.6081203552655429
24,overall,2in,50.8,ann_csgd,6,0.6,0.7,3703,0.6468097025917376,0.67998919794761
24,overall,2in,50.8,ann_csgd,7,0.7,0.8,2711,0.7479101786618741,0.8052379195868683
24,overall,2in,50.8,ann_csgd,8,0.8,0.9,2120,0.8483402190905697,0.8816037735849057
24,overall,2in,50.8,ann_csgd,9,0.9,1.0,1892,0.9478825456118231,0.9593023255813954
24,overall,0.5in,12.7,gnn_csgd,0,0.0,0.1,21202179,0.007999885182727443,0.007858390404118369
24,overall,0.5in,12.7,gnn_csgd,1,0.1,0.2,1156519,0.1433858330775475,0.14563617199544496
24,overall,0.5in,12.7,gnn_csgd,2,0.2,0.3,600333,0.24544439586170957,0.25399569905369185
24,overall,0.5in,12.7,gnn_csgd,3,0.3,0.4,364303,0.3464353510929427,0.3631976678753675
24,overall,0.5in,12.7,gnn_csgd,4,0.4,0.5,249012,0.44729142428723145,0.4693307953030376
24,overall,0.5in,12.7,gnn_csgd,5,0.5,0.6,178778,0.54727499493971,0.5781024510845854
24,overall,0.5in,12.7,gnn_csgd,6,0.6,0.7,133768,0.6478370169331266,0.6818970157287244
24,overall,0.5in,12.7,gnn_csgd,7,0.7,0.8,108684,0.7483511490259992,0.7745666335431158
24,overall,0.5in,12.7,gnn_csgd,8,0.8,0.9,97077,0.8497999736193567,0.86278933217961
24,overall,0.5in,12.7,gnn_csgd,9,0.9,1.0,148107,0.9615639788073387,0.9570513210044089
24,overall,0.5in,12.7,raw_hrrr,0,0.0,0.1,22999992,0.0,0.025059530455488855
24,overall,0.5in,12.7,raw_hrrr,9,0.9,1.0,1238768,1.0,0.5364975524069076
24,overall,1in,25.4,gnn_csgd,0,0.0,0.1,23080260,0.005246166688812236,0.005203624222604078
24,overall,1in,25.4,gnn_csgd,1,0.1,0.2,581739,0.1405424659050463,0.14590220012754862
24,overall,1in,25.4,gnn_csgd,2,0.2,0.3,227550,0.24353306757987292,0.2639947264337508
24,overall,1in,25.4,gnn_csgd,3,0.3,0.4,115569,0.3454182215107102,0.37681385146535834
24,overall,1in,25.4,gnn_csgd,4,0.4,0.5,71159,0.44660933860902025,0.4760747059402184
24,overall,1in,25.4,gnn_csgd,5,0.5,0.6,48425,0.5471829917459188,0.5734641197728446
24,overall,1in,25.4,gnn_csgd,6,0.6,0.7,36175,0.6480873522564058,0.675798203178991
24,overall,1in,25.4,gnn_csgd,7,0.7,0.8,28768,0.7483838742373053,0.7547274749721913
24,overall,1in,25.4,gnn_csgd,8,0.8,0.9,23644,0.8483416969815278,0.8427508035865335
24,overall,1in,25.4,gnn_csgd,9,0.9,1.0,25471,0.9567185033992203,0.950649758548938
24,overall,1in,25.4,raw_hrrr,0,0.0,0.1,23769562,0.0,0.01116074414833559
24,overall,1in,25.4,raw_hrrr,9,0.9,1.0,469198,1.0,0.4161526690224596
