duration_hours,threshold_mm,model,n_samples,n_events,cutoff,cutoff_label,true_positive,false_positive,false_negative,true_negative,hit_rate,false_positive_rate,area_under_displayed_curve,published_auc
12,12.7,gnn_csgd,33987536,798054,0.8,0.8,93692,10146,704362,33179336,0.11740057690331732,0.00030569925737316416,0.8778798715620091,0.9669270785791098
12,12.7,gnn_csgd,33987536,798054,0.7,0.7,136984,22843,661070,33166639,0.1716475326231057,0.000688260214486023,0.8778798715620091,0.9669270785791098
12,12.7,gnn_csgd,33987536,798054,0.6,0.6,184257,45363,613797,33144119,0.23088287258756926,0.0013667884301418142,0.8778798715620091,0.9669270785791098
12,12.7,gnn_csgd,33987536,798054,0.5,0.5,238075,84055,559979,33105427,0.2983194119696161,0.002532579447910636,0.8778798715620091,0.9669270785791098
12,12.7,gnn_csgd,33987536,798054,0.4,0.4,303153,154724,494901,33034758,0.3798652722748085,0.004661838349872409,0.8778798715620091,0.9669270785791098
12,12.7,gnn_csgd,33987536,798054,0.3,0.3,385064,297122,412990,32892360,0.4825036902264759,0.008952293982774423,0.8778798715620091,0.9669270785791098
12,12.7,gnn_csgd,33987536,798054,0.2,0.2,488303,599339,309751,32590143,0.6118671167615224,0.018058100454836867,0.8778798715620091,0.9669270785791098
12,12.7,gnn_csgd,33987536,798054,0.1,0.1,623370,1398419,174684,31791063,0.7811125562931832,0.042134402700228946,0.8778798715620091,0.9669270785791098
12,12.7,gnn_csgd,33987536,798054,0.0,0,798054,33189482,0,0,1.0,1.0,0.8778798715620091,0.9669270785791098
12,25.4,raw_hrrr,33987536,249403,,No positive forecasts,0,0,249403,33738133,0.0,0.0,0.6621648384291979,0.6621648384291979
12,25.4,raw_hrrr,33987536,249403,1.0,1,82138,168987,167265,33569146,0.3293384602430604,0.005008783384664469,0.6621648384291979,0.6621648384291979
12,25.4,raw_hrrr,33987536,249403,0.0,0,249403,33738133,0,0,1.0,1.0,0.6621648384291979,0.6621648384291979
12,25.4,ann_csgd,33987536,249403,,No positive forecasts,0,0,249403,33738133,0.0,0.0,0.7936350536856133,0.9688240188728391
12,25.4,ann_csgd,33987536,249403,0.9,0.9,4606,246,244797,33737887,0.018468101827163266,7.291452671669769e-06,0.7936350536856133,0.9688240188728391
12,25.4,ann_csgd,33987536,249403,0.8,0.8,10010,1166,239393,33736967,0.040135844396418645,3.456030006165427e-05,0.7936350536856133,0.9688240188728391
12,25.4,ann_csgd,33987536,249403,0.7,0.7,17104,3239,232299,33734894,0.06857976848714731,9.600412684365195e-05,0.7936350536856133,0.9688240188728391
12,25.4,ann_csgd,33987536,249403,0.6,0.6,26509,7568,222894,33730565,0.10628982009037581,0.00022431590983413338,0.7936350536856133,0.9688240188728391
12,25.4,ann_csgd,33987536,249403,0.5,0.5,38180,16351,211223,33721782,0.1530855683371892,0.0004846444822539528,0.7936350536856133,0.9688240188728391
12,25.4,ann_csgd,33987536,249403,0.4,0.4,53257,34012,196146,33704121,0.21353792857343337,0.0010081174319871227,0.7936350536856133,0.9688240188728391
12,25.4,ann_csgd,33987536,249403,0.3,0.3,73102,69713,176301,33668420,0.29310794176493465,0.002066296910976076,0.7936350536856133,0.9688240188728391
12,25.4,ann_csgd,33987536,249403,0.2,0.2,102008,155629,147395,33582504,0.4090087128061812,0.004612851576582498,0.7936350536856133,0.9688240188728391
12,25.4,ann_csgd,33987536,249403,0.1,0.1,148900,441245,100503,33296888,0.5970256973653083,0.013078524528906208,0.7936350536856133,0.9688240188728391
12,25.4,ann_csgd,33987536,249403,0.0,0,249403,33738133,0,0,1.0,1.0,0.7936350536856133,0.9688240188728391
12,25.4,gnn_csgd,33987536,249403,,No positive forecasts,0,0,249403,33738133,0.0,0.0,0.7942537808903263,0.972236066682576
12,25.4,gnn_csgd,33987536,249403,0.9,0.9,4850,271,244553,33737862,0.019446438094168874,8.032453959441087e-06,0.7942537808903263,0.972236066682576
12,25.4,gnn_csgd,33987536,249403,0.8,0.8,11081,1335,238322,33736798,0.04443009907659491,3.956946876698838e-05,0.7942537808903263,0.972236066682576
12,25.4,gnn_csgd,33987536,249403,0.7,0.7,18938,3676,230465,33734457,0.07593332878914849,0.00010895682935389459,0.7942537808903263,0.972236066682576
12,25.4,gnn_csgd,33987536,249403,0.6,0.6,28787,8598,220616,33729535,0.11542363163233803,0.00025484516289031166,0.7942537808903263,0.972236066682576
12,25.4,gnn_csgd,33987536,249403,0.5,0.5,40788,18173,208615,33719960,0.16354253958452786,0.0005386486561067264,0.7942537808903263,0.972236066682576
12,25.4,gnn_csgd,33987536,249403,0.4,0.4,55431,35885,193972,33702248,0.22225474432945874,0.00106363324846695,0.7942537808903263,0.972236066682576
12,25.4,gnn_csgd,33987536,249403,0.3,0.3,75122,71206,174281,33666927,0.3012072829917844,0.002110549507881779,0.7942537808903263,0.972236066682576
12,25.4,gnn_csgd,33987536,249403,0.2,0.2,102936,151354,146467,33586779,0.4127295982806943,0.004486140356373603,0.7942537808903263,0.972236066682576
12,25.4,gnn_csgd,33987536,249403,0.1,0.1,149106,423669,100297,33314464,0.5978516697874524,0.012557570983551461,0.7942537808903263,0.972236066682576
12,25.4,gnn_csgd,33987536,249403,0.0,0,249403,33738133,0,0,1.0,1.0,0.7942537808903263,0.972236066682576
12,50.8,raw_hrrr,33987536,38342,,No positive forecasts,0,0,38342,33949194,0.0,0.0,0.604189213393076,0.6041892133930759
12,50.8,raw_hrrr,33987536,38342,1.0,1,8030,35731,30312,33913463,0.2094309112722341,0.00105248448608235,0.604189213393076,0.6041892133930759
12,50.8,raw_hrrr,33987536,38342,0.0,0,38342,33949194,0,0,1.0,1.0,0.604189213393076,0.6041892133930759
12,50.8,ann_csgd,33987536,38342,,No positive forecasts,0,0,38342,33949194,0.0,0.0,0.6683182734851871,0.9707951127080725
12,50.8,ann_csgd,33987536,38342,0.9,0.9,8,0,38334,33949194,0.00020864847947420583,0.0,0.6683182734851871,0.9707951127080725
12,50.8,ann_csgd,33987536,38342,0.8,0.8,151,19,38191,33949175,0.0039382400500756354,5.596598257973371e-07,0.6683182734851871,0.9707951127080725
12,50.8,ann_csgd,33987536,38342,0.7,0.7,396,95,37946,33949099,0.010328099733973188,2.798299128986685e-06,0.6683182734851871,0.9707951127080725
12,50.8,ann_csgd,33987536,38342,0.6,0.6,885,280,37457,33948914,0.02308173804183402,8.247618485434441e-06,0.6683182734851871,0.9707951127080725
12,50.8,ann_csgd,33987536,38342,0.5,0.5,1662,825,36680,33948369,0.04334672161076626,2.4301018751726476e-05,0.6683182734851871,0.9707951127080725
12,50.8,ann_csgd,33987536,38342,0.4,0.4,2806,1933,35536,33947261,0.0731834541755777,5.6938023329802767e-05,0.6683182734851871,0.9707951127080725
12,50.8,ann_csgd,33987536,38342,0.3,0.3,4506,4640,33836,33944554,0.11752125606384643,0.00013667482061577074,0.6683182734851871,0.9707951127080725
12,50.8,ann_csgd,33987536,38342,0.2,0.2,7434,12212,30908,33936982,0.19388659955140577,0.0003597139890861621,0.6683182734851871,0.9707951127080725
12,50.8,ann_csgd,33987536,38342,0.1,0.1,12953,45901,25389,33903293,0.33782796932867354,0.001352049771785451,0.6683182734851871,0.9707951127080725
12,50.8,ann_csgd,33987536,38342,0.0,0,38342,33949194,0,0,1.0,1.0,0.6683182734851871,0.9707951127080725
12,50.8,gnn_csgd,33987536,38342,,No positive forecasts,0,0,38342,33949194,0.0,0.0,0.66943435011391,0.9731214794733265
12,50.8,gnn_csgd,33987536,38342,0.9,0.9,0,0,38342,33949194,0.0,0.0,0.66943435011391,0.9731214794733265
12,50.8,gnn_csgd,33987536,38342,0.8,0.8,154,25,38188,33949169,0.004016483229878462,7.363945076280751e-07,0.66943435011391,0.9731214794733265
12,50.8,gnn_csgd,33987536,38342,0.7,0.7,522,114,37820,33949080,0.013614313285691931,3.3579589547840224e-06,0.66943435011391,0.9731214794733265
12,50.8,gnn_csgd,33987536,38342,0.6,0.6,1114,386,37228,33948808,0.029054300766783163,1.136993119777748e-05,0.66943435011391,0.9731214794733265
12,50.8,gnn_csgd,33987536,38342,0.5,0.5,1960,979,36382,33948215,0.05111887747118043,2.883720891871542e-05,0.66943435011391,0.9731214794733265
12,50.8,gnn_csgd,33987536,38342,0.4,0.4,3082,2195,35260,33946999,0.0803818267174378,6.465543776974498e-05,0.66943435011391,0.9731214794733265
12,50.8,gnn_csgd,33987536,38342,0.3,0.3,4744,4836,33598,33944358,0.12372854832820405,0.00014244815355557485,0.66943435011391,0.9731214794733265
12,50.8,gnn_csgd,33987536,38342,0.2,0.2,7659,12446,30683,33936748,0.1997548380366178,0.00036660664167756087,0.66943435011391,0.9731214794733265
12,50.8,gnn_csgd,33987536,38342,0.1,0.1,13037,44421,25305,33904773,0.3400187783631527,0.001308455216933869,0.66943435011391,0.9731214794733265
12,50.8,gnn_csgd,33987536,38342,0.0,0,38342,33949194,0,0,1.0,1.0,0.66943435011391,0.9731214794733265
24,12.7,raw_hrrr,24238760,1240965,,No positive forecasts,0,0,1240965,22997795,0.0,0.0,0.7552906727703096,0.7552906727703095
24,12.7,raw_hrrr,24238760,1240965,1.0,1,664596,574172,576369,22423623,0.5355477390579105,0.02496639351729155,0.7552906727703096,0.7552906727703095
24,12.7,raw_hrrr,24238760,1240965,0.0,0,1240965,22997795,0,0,1.0,1.0,0.7552906727703096,0.7552906727703095
24,12.7,ann_csgd,24238760,1240965,,No positive forecasts,0,0,1240965,22997795,0.0,0.0,0.9068262198756923,0.9591989746857467
24,12.7,ann_csgd,24238760,1240965,0.9,0.9,124960,5401,1116005,22992394,0.10069582945530293,0.00023484860178986725,0.9068262198756923,0.9591989746857467
24,12.7,ann_csgd,24238760,1240965,0.8,0.8,206462,17799,1034503,22979996,0.1663721378121059,0.0007739437628694403,0.9068262198756923,0.9591989746857467
24,12.7,ann_csgd,24238760,1240965,0.7,0.7,290521,41395,950444,22956400,0.234108939414085,0.001799955169615174,0.9068262198756923,0.9591989746857467
24,12.7,ann_csgd,24238760,1240965,0.6,0.6,384012,83680,856953,22914115,0.3094462776951808,0.0036386097014952956,0.9068262198756923,0.9591989746857467
24,12.7,ann_csgd,24238760,1240965,0.5,0.5,489150,157138,751815,22840657,0.3941690539217464,0.00683274200852734,0.9068262198756923,0.9591989746857467
24,12.7,ann_csgd,24238760,1240965,0.4,0.4,606564,286125,634401,22711670,0.4887841317039562,0.012441410143885534,0.9068262198756923,0.9591989746857467
24,12.7,ann_csgd,24238760,1240965,0.3,0.3,739760,516436,501205,22481359,0.596116731736995,0.022455891967034233,0.9068262198756923,0.9591989746857467
24,12.7,ann_csgd,24238760,1240965,0.2,0.2,896876,969941,344089,22027854,0.7227246537976494,0.04217539116250058,0.9068262198756923,0.9591989746857467
24,12.7,ann_csgd,24238760,1240965,0.1,0.1,1065064,1955192,175901,21042603,0.8582546647165714,0.08501649832081727,0.9068262198756923,0.9591989746857467
24,12.7,ann_csgd,24238760,1240965,0.0,0,1240965,22997795,0,0,1.0,1.0,0.9068262198756923,0.9591989746857467
24,12.7,gnn_csgd,24238760,1240965,,No positive forecasts,0,0,1240965,22997795,0.0,0.0,0.9108229861317114,0.9617958988372989
24,12.7,gnn_csgd,24238760,1240965,0.9,0.9,141746,6361,1099219,22991434,0.11422239950361211,0.00027659173412059723,0.9108229861317114,0.9617958988372989
24,12.7,gnn_csgd,24238760,1240965,0.8,0.8,225503,19681,1015462,22978114,0.18171584210674757,0.0008557776952094755,0.9108229861317114,0.9617958988372989
24,12.7,gnn_csgd,24238760,1240965,0.7,0.7,309686,44182,931279,22953613,0.24955256594666247,0.0019211407006628244,0.9108229861317114,0.9617958988372989
24,12.7,gnn_csgd,24238760,1240965,0.6,0.6,400902,86734,840063,22911061,0.3230566534914361,0.0037714050412224302,0.9108229861317114,0.9617958988372989
24,12.7,gnn_csgd,24238760,1240965,0.5,0.5,504254,162160,736711,22835635,0.4063402271619264,0.00705111076953247,0.9108229861317114,0.9617958988372989
24,12.7,gnn_csgd,24238760,1240965,0.4,0.4,621123,294303,619842,22703492,0.5005161305919184,0.012797009452427939,0.9108229861317114,0.9617958988372989
24,12.7,gnn_csgd,24238760,1240965,0.3,0.3,753437,526292,487528,22471503,0.6071379934164138,0.02288445479229639,0.9108229861317114,0.9617958988372989
24,12.7,gnn_csgd,24238760,1240965,0.2,0.2,905919,974143,335046,22023652,0.7300117247464675,0.042358104331306545,0.9108229861317114,0.9617958988372989
24,12.7,gnn_csgd,24238760,1240965,0.1,0.1,1074350,1962231,166615,21035564,0.8657375510187636,0.08532257114214645,0.9108229861317114,0.9617958988372989
24,12.7,gnn_csgd,24238760,1240965,0.0,0,1240965,22997795,0,0,1.0,1.0,0.9108229861317114,0.9617958988372989
24,25.4,raw_hrrr,24238760,460544,,No positive forecasts,0,0,460544,23778216,0.0,0.0,0.7062259453289349,0.7062259453289348
24,25.4,raw_hrrr,24238760,460544,1.0,1,195258,273940,265286,23504276,0.42397251945525294,0.011520628797383286,0.7062259453289349,0.7062259453289348
24,25.4,raw_hrrr,24238760,460544,0.0,0,460544,23778216,0,0,1.0,1.0,0.7062259453289349,0.7062259453289348
24,25.4,ann_csgd,24238760,460544,,No positive forecasts,0,0,460544,23778216,0.0,0.0,0.8547314931829514,0.9666021721175413
24,25.4,ann_csgd,24238760,460544,0.9,0.9,21206,1041,439338,23777175,0.04604554613674264,4.3779566978447836e-05,0.8547314931829514,0.9666021721175413
24,25.4,ann_csgd,24238760,460544,0.8,0.8,38518,3959,422026,23774257,0.0836358740967204,0.00016649693147711335,0.8547314931829514,0.9666021721175413
24,25.4,ann_csgd,24238760,460544,0.7,0.7,58280,9954,402264,23768262,0.12654599777654252,0.0004186184531253312,0.8547314931829514,0.9666021721175413
24,25.4,ann_csgd,24238760,460544,0.6,0.6,81975,20588,378569,23757628,0.17799602209560866,0.0008658345100406187,0.8547314931829514,0.9666021721175413
